,open,high,low,close,adjclose,volume
2020-03-17,153.2200002193451,157.9539975643158,149.55900564193726,156.67500243186953,149.698171377182,9165710.0
2020-03-18,149.3160029411316,153.37500200271606,145.50999660491945,150.6059995651245,143.93195476531983,11505590.0
2020-03-19,150.2480009555817,154.12900052070617,147.45400075912474,151.16499872207643,144.4689507484436,9865970.0
2020-03-20,152.6880051136017,153.76499700546265,146.8689968585968,147.43000020980836,140.93664083480834,6965970.0
2020-03-23,147.3969962596893,148.20000553131104,143.25499758720397,145.283997297287,138.91157298088072,7490620.0
2020-03-24,150.17600188255312,154.05900340080262,149.56900339126585,153.64699983596805,146.84778108596805,7399500.0
2020-03-25,153.51070122718812,158.27600708007813,151.37000236511233,154.25500178337097,148.0110900402069,6014850.0
2020-03-26,155.48800349235535,160.98000493049622,155.2399994850159,160.34799704551696,153.83066306114196,7549350.0
2020-03-27,157.11989808082583,160.29049944877627,156.14799952507022,157.27900133132934,150.90232896804812,4814770.0
2020-03-30,158.24500179290774,161.03200268745422,157.27199707031252,160.50499486923218,153.98093481063844,5177650.0
2020-03-31,160.17499928474425,161.36300244331363,158.3569983005524,158.9799961090088,152.52422218322752,5087200.0
2020-04-01,155.13399877548215,156.58200097084045,153.35699806213378,154.26850070953367,148.0864023208618,7452940.0
2020-04-02,154.04899673461912,157.19600038528444,153.73700242042543,156.7019995212555,150.41615357398987,4731900.0
2020-04-03,156.2970004558563,157.4210038661957,154.0049970626831,155.25800442695618,149.0365810871124,3637370.0
2020-04-06,159.09440312385559,162.81899805068971,158.539004611969,161.93599481582643,155.41460809707644,5313500.0
2020-04-07,165.49500236511233,165.9419969558716,161.6350045681,161.85200080871584,155.3314319610596,5927630.0
2020-04-08,162.9740002632141,166.09199857711792,162.00999994277953,165.50300097465518,158.81747851371767,3741280.0
2020-04-09,167.0289975643158,168.55700149536133,166.05000123977663,167.29499864578247,160.5312352180481,5598230.0
2020-04-13,166.83200044631957,166.98999910354615,164.4450041294098,166.14700164794922,159.43363494873046,4041680.0
2020-04-14,168.394699048996,170.06099367141726,167.92799615859988,169.58999462127684,162.72237377166746,3983570.0
2020-04-15,167.13070220947267,168.04999771118167,166.2420006752014,167.2415017604828,160.48152861595156,3137080.0
2020-04-16,167.8969967842102,168.30299773216248,166.4529950618744,167.8799938201904,161.09321403503418,3328850.0
