,SMA_30,SMA_100
2019-07-03,51.75556663195292,50.50579287862777
2019-07-05,51.842133309046424,50.5576928896904
2019-07-08,51.927266686757406,50.60927290248871
2019-07-09,52.019200051625575,50.65875788974762
2019-07-10,52.11066672007243,50.70931791591644
2019-07-11,52.19943338394166,50.75886791610717
2019-07-12,52.28693333943685,50.80679790639878
2019-07-15,52.372800054550176,50.8543179101944
2019-07-16,52.469766753514605,50.90265791654587
2019-07-17,52.56466680526733,50.94794792747497
2019-07-18,52.650666812260944,50.99162793636322
2019-07-19,52.73650013923645,51.03813793611526
2019-07-22,52.81226684252421,51.08309795761108
2019-07-23,52.87793353398641,51.13084796333314
2019-07-24,52.94543354352315,51.180407971382145
2019-07-25,53.01783351580302,51.23078798007965
2019-07-26,53.08836682955424,51.28114796829223
