,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-05-06,0.3307236510948286,-0.034923983104507283,0.3656476341993359
2019-05-07,0.31417719021003165,-0.04117635519144336,0.355353545401475
2019-05-08,0.2764137608236794,-0.06315182766223648,0.3395655884859159
2019-05-09,0.24415563083697833,-0.07632796611915005,0.3204835969561284
2019-05-10,0.2110741705281498,-0.08752754114238287,0.2986017116705327
2019-05-13,0.1888128780839864,-0.08783106686923703,0.2766439449532234
2019-05-14,0.14010300739252557,-0.10923275004855831,0.24933575744108388
2019-05-15,0.1151012636598523,-0.1073875950249853,0.2224888586848376
2019-05-16,0.11901049773521777,-0.08278268875969585,0.20179318649491362
2019-05-17,0.127577294552907,-0.05937271355360532,0.18695000810651233
2019-05-20,0.11807758402056123,-0.05509793926876089,0.17317552328932212
2019-05-21,0.09038314973631856,-0.06623389884240286,0.1566170485787214
2019-05-22,0.08544444712425303,-0.05693808116357471,0.14238252828782774
2019-05-23,0.07677221225581832,-0.05248825282560754,0.12926046508142586
2019-05-24,0.05091481239944784,-0.06267652214558242,0.11359133454503026
2019-05-28,0.03996783583272645,-0.05889879896984304,0.09886663480256949
2019-05-29,0.03500398030308105,-0.05109012359959075,0.0860941039026718
2019-05-30,0.02967910532472473,-0.045131998862357664,0.0748111041870824
2019-05-31,0.03402346401581724,-0.03263011213701213,0.06665357615282937
2019-06-03,0.02020764008307907,-0.03715674885580024,0.05736438893887931
2019-06-04,-0.012226066644871025,-0.055672364467000274,0.04344629782212925
2019-06-05,-0.0101358677745651,-0.04286573247735548,0.03272986470279038
2019-06-06,0.01690509446824251,-0.012659816187638298,0.029564910655880808
2019-06-07,0.050342716575094926,0.016622244735371293,0.03372047183972363
2019-06-10,0.11481564037838154,0.06487613483092633,0.049939505547455215
2019-06-11,0.16920531862577093,0.09541265046265257,0.07379266816311836
2019-06-12,0.20717781955782044,0.10670812111576167,0.10046969844205877
2019-06-13,0.23536510795482712,0.10791632761021466,0.12744878034461246
2019-06-14,0.26513723057091454,0.11015076018104164,0.1549864703898729
2019-06-17,0.2785810037792871,0.09887562671153133,0.17970537706775574
2019-06-18,0.2955918200269423,0.09270915436734922,0.20288266565959306
2019-06-19,0.33562484694434147,0.10619374502779871,0.22943110191654276
2019-06-20,0.37066348839039165,0.11298590917907908,0.25767757921131257
2019-06-21,0.42747533035387875,0.13583820091405296,0.2916371294398258
2019-06-24,0.46065296959413615,0.13521267212344829,0.32544029747068787
2019-06-25,0.49687311902864195,0.1371462572463632,0.35972686178227875
2019-06-26,0.5017990273593043,0.11365773246162042,0.38814129489768384
2019-06-27,0.5253073888310027,0.10973287514665503,0.41557451368434767
2019-06-28,0.5166795016876833,0.08088399040266847,0.4357955112850148
2019-07-01,0.5170344570058631,0.06499115657667864,0.4520433004291845
2019-07-02,0.5097451733198923,0.04616149831256622,0.4635836750073261
2019-07-03,0.5191254334715154,0.044433406771351436,0.47469202670016397
2019-07-05,0.5468835371024525,0.05775320832183084,0.4891303287806217
2019-07-08,0.5551397748140516,0.05280755682674387,0.5023322179873078
2019-07-09,0.5533674146195366,0.04082815730578315,0.5125392573137535
2019-07-10,0.5544476474665814,0.033526712122262214,0.5209209353443192
2019-07-11,0.5465822520424553,0.020529053358508853,0.5260531986839464
2019-07-12,0.5301227001634885,0.0032556011836336607,0.5268670989798548
2019-07-15,0.5161316387753629,-0.00858836816359354,0.5247200069389565
2019-07-16,0.5090204108942444,-0.01255967683576964,0.5215800877300141
2019-07-17,0.4713232545170456,-0.040205466570374826,0.5115287210874204
2019-07-18,0.4424798820601481,-0.05523907122181787,0.49771895328196597
2019-07-19,0.43972823367751346,-0.04639257568356203,0.4861208093610755
2019-07-22,0.42091450428425503,-0.05216504406145639,0.4730795483457114
2019-07-23,0.4160557507461249,-0.04561903807966927,0.46167478882579416
2019-07-24,0.41708023090877333,-0.035675646333616695,0.45275587724239
2019-07-25,0.4221440127006133,-0.0244894916334214,0.4466335043340347
2019-07-26,0.41763114240760757,-0.023201889541141718,0.4408330319487493
2019-07-29,0.41069225256389785,-0.02411262350788118,0.43480487607177903
2019-07-30,0.4021708879910264,-0.02610719046460208,0.4282780784556285
2019-07-31,0.38628476484939966,-0.03359465088498309,0.41987941573438275
2019-08-01,0.3584276196712679,-0.0491614368504919,0.4075890565217598
2019-08-02,0.33562875050014895,-0.05756824481728873,0.3931969953174377
2019-08-05,0.300061211886252,-0.07450862674494857,0.3745698386312006
2019-08-06,0.2257783128396298,-0.11903322063325666,0.34481153347288646
2019-08-07,0.1917301758891341,-0.1224650860670019,0.314195261956136
2019-08-08,0.18544465644495745,-0.10300048440894288,0.28844514085390033
2019-08-09,0.19643535029427284,-0.07360783244770197,0.2700431827419748
2019-08-12,0.19355409238067978,-0.061191272289036036,0.2547453646697158
2019-08-13,0.17449274563147554,-0.06420209523059223,0.23869484086206777
2019-08-14,0.18628800402738932,-0.04192546946774278,0.2282134734951321
2019-08-15,0.15168556905447161,-0.06122232355252841,0.21290789260700002
2019-08-16,0.14247068262028506,-0.056349767989371996,0.19882045060965706
2019-08-19,0.1577985425305073,-0.03281752646331981,0.1906160689938271
2019-08-20,0.17917739414938438,-0.00915093987555421,0.1883283340249386
2019-08-21,0.1903752091605213,0.001637500108466139,0.18873770905205517
2019-08-22,0.20383930411811946,0.01208127605285142,0.19175802806526804
2019-08-23,0.20464626710894862,0.010310591234944433,0.1943356758740042
2019-08-26,0.17016006786902693,-0.01934048640398181,0.18950055427300874
2019-08-27,0.15412497191459096,-0.02830046588673424,0.1824254378013252
2019-08-28,0.14554912817020949,-0.02950104770489259,0.17505017587510208
2019-08-29,0.1363736067563508,-0.030941255295001024,0.16731486205135182
2019-08-30,0.14589859761417756,-0.017133011549739424,0.16303160916391699
2019-09-03,0.1505019418392024,-0.010023733859771677,0.16052567569897408
2019-09-04,0.15263273521970433,-0.006314352383415794,0.15894708760312012
2019-09-05,0.16748008059380481,0.006826394392547758,0.16065368620125706
2019-09-06,0.18789356243484434,0.02179190098686981,0.16610166144797453
2019-09-09,0.20134691679926675,0.028196204281033754,0.173150712518233
2019-09-10,0.18933055835753265,0.01294387667143973,0.17638668168609292
2019-09-11,0.1558212419203926,-0.016452351812560273,0.17227359373295287
2019-09-12,0.1476548495989931,-0.019694995307167812,0.16734984490616092
2019-09-13,0.14755129428955627,-0.01583884049328374,0.16339013478284
2019-09-16,0.11834708810223304,-0.03603443734448558,0.15438152544671863
2019-09-17,0.0968297832593592,-0.046041393749887555,0.14287117700924676
2019-09-18,0.09051481509576575,-0.04188508953078479,0.13239990462655055
2019-09-19,0.09114071245515021,-0.03300735373712027,0.12414806619227048
2019-09-20,0.09340040355309043,-0.02459813011134404,0.11799853366443447
2019-09-23,0.08389570716971662,-0.027282261195774288,0.1111779683654909
2019-09-24,0.08418809680911465,-0.021591897245101008,0.10577999405421566
