index,close,BB_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2022-08-16,64.02099828720094,0,650,0.0,41613.64888668061,109309.6757364273,150923.3246231079,-0.0009595013801074748,0.006155497487386308,-0.003471146573586492,0.03637447675741323,0.0018756797165810912,0.0478661895418393
2022-08-17,63.55700159072877,0,650,0.0,41312.0510339737,109309.6757364273,150621.726770401,-0.001998351503719298,0.0041448451360068805,-0.007247570467281084,0.02886327970662239,-0.007237794954094601,0.04028194892260695
2022-08-18,63.653000831604,0,650,0.0,41374.450540542595,109309.6757364273,150684.1262769699,0.00041427958573359014,0.004560841846466435,0.0015104432001593615,0.03041731925134883,0.002269561170191503,0.04264293243993289
2022-08-19,62.76299972534181,0,650,0.0,40795.949821472175,109309.6757364273,150105.62555789948,-0.0038391616513546722,0.0007041703859969051,-0.013982076172916247,0.0160099458036842,-0.012900001139847905,0.029192837423003493
2022-08-22,61.77699823379516,0,650,0.0,40155.04885196686,109309.6757364273,149464.72458839417,-0.004269666557287666,-0.0035685027440385264,-0.015709916604711438,4.851428555086024e-05,-0.0214000649197158,0.0071680438872447905
2022-08-23,61.68800077438354,0,650,0.0,40097.2005033493,109309.6757364273,149406.8762397766,-0.000387036799330831,-0.003954158401488939,-0.0014406245359286363,-0.0013921801412478674,-0.0022378626777133093,0.004914140111643928
2022-08-24,61.59699954986572,0,650,0.0,40038.04970741272,109309.6757364273,149347.72544384003,-0.00039590410712864177,-0.004348497041066213,-0.0014751851798641136,-0.002865311597599951,0.0029161604463010526,0.00784463097896615
2022-08-25,62.254998970031735,0,650,0.0,40465.74933052063,109309.6757364273,149775.42506694794,0.0028637839768690387,-0.0014971662203467906,0.010682329090288434,0.007786409291256735,0.014091605518061545,0.022046779942218153
2022-08-26,60.76270084381104,1,1300,650.0,78991.51109695435,69813.92018795013,148805.43128490448,-0.0064763213431701105,-0.007963791433969747,-0.02397073569849484,-0.016370972366399172,-0.03368805871951874,-0.012383991994570298
2022-08-29,60.23000068664551,1,1300,0.0,78299.00089263916,69813.92018795013,148112.9210805893,-0.004653796560619483,-0.012580526129404301,-0.008766893995295288,-0.02499434378235832,-0.006666355799502699,-0.01896779169721896
2022-08-30,59.92699851989746,1,1300,0.0,77905.0980758667,69813.92018795013,147719.01826381683,-0.0026594763907068497,-0.01520654490788731,-0.005030751507449915,-0.02989935495714746,-0.011028155571448206,-0.029786767510983414
2022-08-31,59.5229992866516,1,1300,0.0,77379.89907264708,69813.92018795013,147193.81926059723,-0.0035553919149505786,-0.018707871596018055,-0.006741522906603126,-0.03643931067741435,-0.007817025105971265,-0.03737094870749558
2022-09-01,59.24200143814086,0,650,-650.0,38507.30093479156,108321.2211227417,146828.52205753326,-0.0024817428129725316,-0.02114318628311118,-0.004720828114818332,-0.04098811506990219,0.0029962320243361873,-0.03448668871645666
2022-09-02,59.07900171279907,0,650,0.0,38401.3511133194,108321.2211227417,146722.5722360611,-0.000721588830204567,-0.02184951842625893,-0.0027514216499250344,-0.043626761132634306,-0.010736500458081055,-0.04485292282533582
2022-09-06,58.62999963760377,0,650,0.0,38109.49976444245,108321.2211227417,146430.72088718414,-0.0019891373524135725,-0.02379519408543862,-0.007600028134836068,-0.050895224655430615,-0.004095056983834944,-0.048764304534309466
2022-09-07,59.22299995422363,0,650,0.0,38494.94997024536,108321.2211227417,146816.17109298706,0.0026323042286999776,-0.02122552604675243,0.010114281430756211,-0.04129571185032099,0.018341016392734,-0.03131767505041949
2022-09-08,59.08199796676636,0,650,0.0,38403.29867839813,108321.2211227417,146724.51980113983,-0.0006242588344657074,-0.02183653465906732,-0.002380865332155757,-0.04357825765376566,0.006610721877456038,-0.0249139856125703
2022-09-09,59.71499891281128,0,650,0.0,38814.74929332733,108321.2211227417,147135.97041606903,0.0028042389607876306,-0.019093530559539218,0.010713939403352413,-0.03333121306221942,0.015271449816332883,-0.010023008477244577
2022-09-12,60.36499900817872,0,650,0.0,39237.24935531617,108321.2211227417,147558.47047805786,0.0028714940391127985,-0.016276863479613768,0.01088503905553928,-0.02280898556263089,0.0105842727693497,0.00045517803641237364
2022-09-13,58.64599971771241,0,650,0.0,38119.89981651306,108321.2211227417,146441.12093925476,-0.007572249394989794,-0.023725860404967714,-0.02847675505193681,-0.050636214719717465,-0.0432366134006168,-0.04280111572099321
2022-09-14,58.760999011993405,0,650,0.0,38194.649357795715,108321.2211227417,146515.8704805374,0.0005104409253577913,-0.023227530129749985,0.001960906026575282,-0.048774601551749064,0.0033870120853238816,-0.03955907153188165
2022-09-15,58.02799816131592,0,650,0.0,37718.19880485535,108321.2211227417,146039.41992759705,-0.003251869926293449,-0.02640386714935239,-0.012474274825175713,-0.06064044859267981,-0.011317739184353415,-0.05042909146226204
2022-09-16,57.88700218200683,0,650,0.0,37626.55141830444,108321.2211227417,145947.77254104614,-0.0006275523868578547,-0.02701484972635837,-0.002429792234381889,-0.06292289713598176,-0.007182134089448455,-0.05724903705481943
2022-09-19,57.990001296997065,0,650,0.0,37693.50084304809,108321.2211227417,146014.7219657898,0.00045872179875039443,-0.026568520228067438,0.001779313336461641,-0.06125554334956296,0.006857100716286535,-0.05078449875152824
2022-09-20,57.60599746704102,0,650,0.0,37443.89835357667,108321.2211227417,145765.11947631836,-0.0017094337208676258,-0.02823253682454363,-0.0066218972472402715,-0.06747181268291857,-0.011272103097361819,-0.06148415374321503
2022-09-21,57.259999656677245,0,650,0.0,37218.99977684021,108321.2211227417,145540.2208995819,-0.001542883356076108,-0.029731860669453325,-0.00600628103977785,-0.07307283905345952,-0.017116493600784488,-0.07754825421990408
2022-09-22,56.88899898529053,0,650,0.0,36977.84934043884,108321.2211227417,145299.07046318054,-0.0016569332855950192,-0.03133953024546243,-0.00647922936799139,-0.07907861273665318,-0.00842758097968943,-0.0853222910073217
2022-09-23,56.33450031280517,1,1300,650.0,73234.85040664671,71703.79591941833,144938.64632606506,-0.0024805673977578158,-0.03374235782623236,-0.0097470281139721,-0.08805485938906721,-0.017232619015461026,-0.10108458348832727
2022-09-26,55.84499883651733,1,1300,0.0,72598.49848747252,71703.79591941833,144302.29440689087,-0.004390491668747942,-0.037984703954060284,-0.008689195316720966,-0.09597892883397019,-0.010340526208282075,-0.11037984191179506
2022-09-27,55.75099992752075,0,650,-650.0,36238.14995288849,107941.94587230682,144180.0958251953,-0.0008468235532762547,-0.03879936116536398,-0.0016832108685640446,-0.09750058692636776,-0.0021203598092424114,-0.11226615674049722
2022-09-28,56.393998336792,0,650,0.0,36656.0989189148,107941.94587230682,144598.04479122162,0.0028987979487338222,-0.036013034725188464,0.011533396891664438,-0.0870917030008953,0.019672139926234733,-0.09480253235864211
2022-09-29,55.54900074005128,0,650,0.0,36106.85048103333,107941.94587230682,144048.79635334015,-0.0037984499629611923,-0.039674690977731686,-0.014983821357980265,-0.10077055783934785,-0.021126437880238824,-0.11392613042811672
2022-09-30,55.18499946594239,0,650,0.0,35870.249652862556,107941.94587230682,143812.19552516937,-0.0016425047217362154,-0.04125202983220355,-0.0065527960766077475,-0.10666302499990832,-0.015066695771983274,-0.12727633585246023
2022-10-03,56.194000816345216,0,650,0.0,36526.10053062439,107941.94587230682,144468.0464029312,0.0045604677361805734,-0.03687969064712471,0.018283978620413643,-0.09032927084818165,0.025883894952576147,-0.104686848207038
2022-10-04,57.16800079345703,0,650,0.0,37159.20051574707,107941.94587230682,145101.1463880539,0.004382283839825085,-0.032659024079640275,0.01733281067306569,-0.07456212032496357,0.030583700679551518,-0.0773048587581362
2022-10-05,57.02800025939941,0,650,0.0,37068.20016860962,107941.94587230682,145010.14604091644,-0.0006271511245961037,-0.0332656930605566,-0.0024489317820196588,-0.07682845456078469,-0.002017948757084831,-0.07916681027157346
2022-10-06,56.74899969100952,0,650,0.0,36886.84979915619,107941.94587230682,144828.795671463,-0.001250604694944979,-0.0344746955235794,-0.004892343535119914,-0.08134492690292094,-0.010245080846639998,-0.08860082074661058
2022-10-07,55.45400009155273,0,650,0.0,36045.10005950927,107941.94587230682,143987.0459318161,-0.005812032998992689,-0.04008636045455882,-0.022819778436763416,-0.10230843213080498,-0.028003617786773516,-0.11412329501360152
2022-10-10,54.91200008392335,0,650,0.0,35692.80005455018,107941.94587230682,143634.745926857,-0.0024467479187394447,-0.042435027154286264,-0.009773866749640314,-0.11108234989743415,-0.00749246363390188,-0.12076069400983291
