index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2022-07-13,103.23250255584716,0,350,0.0,36131.37589454651,144097.60036349297,180228.97625803947,-0.0003930909284504125,0.2015265083869362
2022-07-14,104.09399762153626,0,350,0.0,36432.89916753769,144097.60036349297,180530.49953103065,0.001673001085904735,0.20353666354021094
2022-07-15,105.87100338935852,0,350,0.0,37054.85118627548,144097.60036349297,181152.45154976845,0.0034451354222884145,0.20768301033179615
2022-07-18,105.11350412368775,0,350,0.0,36789.72644329071,144097.60036349297,180887.32680678368,-0.0014635448801085804,0.20591551204523095
2022-07-19,108.08950428962707,0,350,0.0,37831.326501369476,144097.60036349297,181928.92686486244,0.005758281005453503,0.21285951243242285
2022-07-20,109.57100496292114,0,350,0.0,38349.8517370224,144097.60036349297,182447.45210051537,0.0028501527744297928,0.21631634733677574
2022-07-21,110.80749955177308,0,350,0.0,38782.624843120575,144097.60036349297,182880.22520661354,0.002372042476426195,0.21920150137743022
2022-07-22,109.41650104522705,0,350,0.0,38295.77536582947,144097.60036349297,182393.37572932243,-0.0026621220350153685,0.21595583819548958
2022-07-25,108.74600419998168,0,350,0.0,38061.10146999359,144097.60036349297,182158.70183348656,-0.0012866360683193578,0.2143913455565838
2022-07-26,107.1349998474121,0,350,0.0,37497.24994659424,144097.60036349297,181594.8503100872,-0.0030953861535244487,0.21063233540058812
2022-07-27,111.48300228118896,0,350,0.0,39019.05079841614,144097.60036349297,183116.6511619091,0.008380198277777806,0.22077767441273433
2022-07-28,113.13599557876586,0,350,0.0,39597.59845256805,144097.60036349297,183695.19881606102,0.003159448638236473,0.2246346587737471
2022-07-29,114.71100115776062,0,350,0.0,40148.85040521622,144097.60036349297,184246.45076870918,0.0030009056099509213,0.2283096717914015
2022-08-01,114.2805028438568,0,350,0.0,39998.17599534988,144097.60036349297,184095.77635884285,-0.0008177873127959145,0.22730517572562592
2022-08-02,113.44949951171874,0,350,0.0,39707.32482910156,144097.60036349297,183804.92519259453,-0.0015798904896188182,0.22536616795063713
2022-08-03,116.16550159454344,0,350,0.0,40657.9255580902,144097.60036349297,184755.52592158318,0.005171791386942459,0.231703506143895
2022-08-04,116.59850072860718,0,350,0.0,40809.47525501251,144097.60036349297,184907.07561850548,0.0008202715245801961,0.23271383745671037
2022-08-05,116.31000270843506,0,350,0.0,40708.50094795227,144097.60036349297,184806.10131144524,-0.0005460813585552726,0.23204067540964202
2022-08-08,115.61150298118591,0,350,0.0,40464.02604341507,144097.60036349297,184561.62640690804,-0.0013228724744601683,0.23041084271272738
2022-08-09,114.5329981803894,0,350,0.0,40086.54936313629,144097.60036349297,184184.14972662926,-0.0020452609116401455,0.2278943315108688
2022-08-10,117.48150000572203,0,350,0.0,41118.52500200271,144097.60036349297,185216.12536549568,0.005602955739666626,0.23477416910331184
2022-08-11,117.2094985961914,0,350,0.0,41023.324508666985,144097.60036349297,185120.92487215996,-0.0005139967869852713,0.23413949914774035
2022-08-12,119.30300049781799,0,350,0.0,41756.0501742363,144097.60036349297,185853.65053772926,0.003958092074547004,0.23902433691820235
2022-08-15,119.89849858283996,0,350,0.0,41964.47450399399,144097.60036349297,186062.07486748695,0.001121443292368296,0.24041383244992032
2022-08-16,119.53799548149107,0,350,0.0,41838.298418521874,144097.60036349297,185935.89878201485,-0.0006781397313878612,0.239572658546773
2022-08-17,118.67550539970397,0,350,0.0,41536.426889896386,144097.60036349297,185634.02725338936,-0.001623524723320835,0.23756018168926984
2022-08-18,119.26350421905516,0,350,0.0,41742.226476669304,144097.60036349297,185839.82684016228,0.0011086307279861707,0.23893217893442276
2022-08-19,117.15800008773803,0,350,0.0,41005.30003070831,144097.60036349297,185102.90039420128,-0.00396538491501508,0.23401933596134938
2022-08-22,114.26249690055846,1,700,350.0,79983.74783039092,104105.72644829752,184089.47427868843,-0.005474933744174848,0.22726316185793038
2022-08-23,114.13550429344178,1,700,0.0,79894.85300540926,104105.72644829752,184000.57945370677,-0.00048288923269501627,0.226670529691386
2022-08-24,114.26250171661377,1,700,0.0,79983.75120162964,104105.72644829752,184089.47764992714,0.00048314084925338285,0.2272631843328552
2022-08-25,115.90599641799928,1,700,0.0,81134.19749259949,104105.72644829752,185239.923940897,0.006249386470407625,0.23493282627265422
2022-08-26,111.45455322265623,1,700,0.0,78018.18725585936,104105.72644829752,182123.91370415688,-0.016821483028325535,0.21415942469438676
2022-08-29,110.14599933624267,1,700,0.0,77102.19953536987,104105.72644829752,181207.92598366737,-0.005029475272409489,0.20805283989112344
2022-08-30,108.97249736785888,1,700,0.0,76280.74815750122,104105.72644829752,180386.47460579872,-0.004533197835632663,0.202576497371999
2022-08-31,107.98249611854554,1,700,0.0,75587.74728298187,104105.72644829752,179693.47373127937,-0.003841756295940524,0.19795649154187012
2022-09-01,107.30450415611267,1,700,0.0,75113.15290927887,104105.72644829752,179218.87935757637,-0.0026411330575796255,0.1947925290505168
2022-09-02,106.1240044116974,1,700,0.0,74286.80308818819,104105.72644829752,178392.5295364857,-0.004610841358079987,0.18928353024324562
