index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2021-12-20,131.65950508117675,0,350,0.0,46080.82677841186,105277.70097732544,151358.5277557373,-0.0038101169372404264,0.00905685170491477,-0.012406831593882672,0.030376965975039028,-0.01138805785140995,0.018179156685644182
2021-12-21,134.96699562072752,0,350,0.0,47238.44846725463,105277.70097732544,152516.14944458008,0.007648209228824809,0.016774329630533158,0.02512154771895503,0.05626163009429308,0.017777934551572505,0.036280279094976775
2021-12-22,136.67049713134764,0,350,0.0,47834.67399597167,105277.70097732544,153112.37497329712,0.003909261615168802,0.020749166488646775,0.012621615401495312,0.06959335815269974,0.010180197220578835,0.04682981671196007
2021-12-23,137.68125133514403,0,350,0.0,48188.43796730041,105277.70097732544,153466.13894462585,0.0023104858205642564,0.02310759296417153,0.0073955551857325386,0.0775035948592111,0.006223699921661829,0.05334497136022365
2021-12-27,140.34599571228028,0,350,0.0,49121.0984992981,105277.70097732544,154398.79947662354,0.006077304989957399,0.029325329844156034,0.019354446239377543,0.09835808025864967,0.01383893524747526,0.06792214421213139
2021-12-28,139.25439739227295,0,350,0.0,48739.03908729553,105277.70097732544,154016.74006462097,-0.002474497297243583,0.02677826709747233,-0.007777908549989498,0.08981515155525588,-0.0010101548486260992,0.06684337748020042
2021-12-29,139.21150360107418,0,350,0.0,48724.02626037596,105277.70097732544,154001.72723770142,-9.74752933561307e-05,0.026678181584675276,-0.0003080246800245545,0.08947946159191211,0.0014018951394270118,0.06833898002561978
2021-12-30,138.40900115966795,0,350,0.0,48443.15040588378,105277.70097732544,153720.85138320923,-0.001823848729038291,0.02480567588806082,-0.0057646273522473646,0.08319901848790767,-0.0029897555945093135,0.06514490758325575
2021-12-31,137.62699661254882,0,350,0.0,48169.44881439209,105277.70097732544,153447.14979171753,-0.0017805105099852891,0.022980998611449532,-0.005649954414576053,0.07707899341153746,-0.0026261799136575448,0.062347645421825915
2022-01-03,138.79000339508056,0,350,0.0,48576.5011882782,105277.70097732544,153854.20216560364,0.0026527203303459146,0.02569468110402373,0.008450426232913255,0.08618076999238222,0.006374052530970564,0.0691191051198976
2022-01-04,137.59250240325926,0,350,0.0,48157.37584114074,105277.70097732544,153435.0768184662,-0.002724172243838474,0.022900512123107397,-0.008628150173125126,0.07680903919372728,-0.000629621957060511,0.06844596425660132
2022-01-05,133.48950519561765,0,350,0.0,46721.32681846618,105277.70097732544,151999.02779579163,-0.009359326774891263,0.01332685197194361,-0.029819918498294684,0.04469868140674338,-0.019392757790687165,0.04772585045933586
2022-01-06,132.810000705719,0,350,0.0,46483.500247001655,105277.70097732544,151761.2012243271,-0.0015646585041586558,0.011741341495513424,-0.00509032143690169,0.0393808293136757,-0.0009637690162076495,0.04671608474718325
