index,close,STOCH_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-07-21,211.3719975471497,0,200,0.0,42274.39950942994,102509.13547515869,144783.53498458862,0.0027162185659037608,-0.03477643343607573,0.0093643222894495,-0.12866472354778535
2022-07-22,210.2199975967407,0,200,0.0,42043.999519348145,102509.13547515869,144553.13499450684,-0.0015913411017787205,-0.03631243336995438,-0.005450106749130823,-0.1334135938187333
2022-07-25,210.22299633026122,0,200,0.0,42044.599266052246,102509.13547515869,144553.73474121094,4.148970578432554e-06,-0.0363084350585936,1.426473958132668e-05,-0.13340123218932443
2022-07-26,208.2419984817505,0,200,0.0,41648.3996963501,102509.13547515869,144157.5351715088,-0.0027408463047423615,-0.03894976552327467,-0.009423316588060504,-0.1415674667332275
2022-07-27,212.57699756622316,0,200,0.0,42515.39951324463,102509.13547515869,145024.53498840332,0.006014252504130457,-0.03316976674397787,0.020817121983453202,-0.12369737197364838
2022-07-28,215.00199794769287,0,200,0.0,43000.399589538574,102509.13547515869,145509.53506469727,0.0033442622404045164,-0.029936432902018306,0.011407633042301635,-0.11370083315911916
2022-07-29,217.44500036239626,0,200,0.0,43489.00007247925,102509.13547515869,145998.13554763794,0.003357858869684538,-0.0266790963490805,0.01136269633781617,-0.10363008486184677
2022-08-01,216.87900609970094,0,200,0.0,43375.801219940186,102509.13547515869,145884.93669509888,-0.000775344507753184,-0.02743375536600756,-0.002602930680181248,-0.10596327361475133
2022-08-02,215.3670022964478,0,200,0.0,43073.40045928956,102509.13547515869,145582.53593444824,-0.0020728717268641006,-0.02944976043701175,-0.006971646681920296,-0.11219618179176993
2022-08-03,218.04800033569336,0,200,0.0,43609.60006713867,102509.13547515869,146118.73554229736,0.00368313138940346,-0.025875096384684215,0.012448508873960318,-0.10114434808246897
2022-08-04,218.0280040740967,0,200,0.0,43605.60081481934,102509.13547515869,146114.73628997803,-2.736988042284505e-05,-0.025901758066813052,-9.17057783875741e-05,-0.10122677833968619
2022-08-05,217.27099742889405,0,200,0.0,43454.19948577881,102509.13547515869,145963.3349609375,-0.0010361811059225179,-0.026911100260416543,-0.003472061529056547,-0.10434737426595919
2022-08-08,217.37700357437137,0,200,0.0,43475.400714874275,102509.13547515869,145984.53619003296,0.00014525037469947932,-0.02676975873311349,0.00048789827787310003,-0.10391038689229104
2022-08-09,216.4959957122803,0,200,0.0,43299.199142456055,102509.13547515869,145808.33461761475,-0.0012069879250008464,-0.02794443588256823,-0.004052902779983603,-0.10754215097636965
2022-08-10,220.0889973640442,0,200,0.0,44017.79947280884,102509.13547515869,146526.93494796753,0.004928389945864975,-0.023153767013549764,0.016596157540663903,-0.09273077991557144
2022-08-11,220.02299461364746,0,200,0.0,44004.59892272949,102509.13547515869,146513.73439788818,-9.008958034939507e-05,-0.0232417706807454,-0.00029989118578044316,-0.0930028619578046
2022-08-12,222.91500082015992,0,200,0.0,44583.00016403198,102509.13547515869,147092.13563919067,0.00394776123671603,-0.019385762405395468,0.01314410892184581,-0.08108119278357562
2022-08-15,223.73200674057006,0,200,0.0,44746.401348114014,102509.13547515869,147255.5368232727,0.0011108764134259985,-0.018296421178181865,0.003665100676958355,-0.07771326284117697
2022-08-16,223.98500280380253,0,200,0.0,44797.000560760505,102509.13547515869,147306.1360359192,0.0003436150092421819,-0.017959093093871892,0.001130799597778731,-0.07667034136976114
2022-08-17,222.42500467300414,0,200,0.0,44485.00093460083,102509.13547515869,146994.13640975952,-0.0021180355045331556,-0.020039090601603027,-0.006964743671543316,-0.0831010957664543
2022-08-18,223.00299549102783,0,200,0.0,44600.59909820557,102509.13547515869,147109.73457336426,0.000786413434087585,-0.019268436177571457,0.002598587415445497,-0.08071845381267728
2022-08-19,220.42499313354492,0,200,0.0,44084.998626708984,102509.13547515869,146594.13410186768,-0.003504869837416824,-0.02270577265421536,-0.011560393401023328,-0.09134571013290371
2022-08-22,216.6849961280823,0,200,0.0,43336.99922561646,102509.13547515869,145846.13470077515,-0.0051025193175379124,-0.027692435328165566,-0.016967209354506907,-0.10676303769994955
2022-08-23,216.35200452804568,0,200,0.0,43270.40090560914,102509.13547515869,145779.53638076782,-0.00045663411062601966,-0.028136424128214488,-0.0015367543022674068,-0.10813572344470845
2022-08-24,216.78299350738527,1,400,200.0,86713.1974029541,59152.53677368164,145865.73417663574,0.0005912887227379482,-0.02756177215576172,0.0019920729659046454,-0.10635906473012657
2022-08-25,219.24900150299072,1,400,0.0,87699.60060119629,59152.53677368164,146852.13737487793,0.0067624051927623885,-0.02098575083414722,0.011375467953953944,-0.09619348090862267
2022-08-26,213.31469898223878,1,400,0.0,85325.87959289551,59152.53677368164,144478.41636657715,-0.016164020835742088,-0.03681055755615248,-0.027066497361772468,-0.12065635767316218
2022-08-29,212.19199562072754,1,400,0.0,84876.79824829102,59152.53677368164,144029.33502197266,-0.0031082936531160454,-0.03980443318684912,-0.005263131733855397,-0.12528445910205654
2022-08-30,210.28100166320803,1,400,0.0,84112.40066528322,59152.53677368164,143264.93743896484,-0.005307235382925324,-0.044900417073567955,-0.009005966280345556,-0.1331621177682777
2022-08-31,208.97899675369266,1,400,0.0,83591.59870147707,59152.53677368164,142744.1354751587,-0.003635236737726033,-0.04837243016560888,-0.006191738194212593,-0.13852935099188224
2022-09-01,209.2580040931702,1,400,0.0,83703.20163726808,59152.53677368164,142855.7384109497,0.0007818390256071339,-0.047628410593668624,0.0013350975160741907,-0.13737920366822065
2022-09-02,207.79099969863893,1,400,0.0,83116.39987945557,59152.53677368164,142268.9366531372,-0.004107652687527774,-0.05154042231241862,-0.007010505528276534,-0.14342661152971092
2022-09-06,206.80399713516235,1,400,0.0,82721.59885406494,59152.53677368164,141874.13562774658,-0.002775033220028811,-0.05417242914835618,-0.004749977452863874,-0.14749531581166797
