index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-04-04,68.88599967956543,0,650,0.0,44775.89979171753,103613.0732345581,148388.97302627563,0.003013990691558721,-0.010740179824829554,0.01005862937895996,-0.02755585069733546
2022-04-05,67.92900257110595,0,650,0.0,44153.85167121887,103613.0732345581,147766.92490577698,-0.004192010415683067,-0.014887167294820647,-0.013892476162226108,-0.04106550786061902
2022-04-06,66.92199954986572,0,650,0.0,43499.29970741271,103613.0732345581,147112.37294197083,-0.004429624316967584,-0.01925084705352831,-0.014824345759915092,-0.05528108433320178
2022-04-07,66.94500198364258,0,650,0.0,43514.25128936768,103613.0732345581,147127.32452392578,0.00010163374878646714,-0.019151169840495252,0.0003437200611395852,-0.054956365489749026
2022-04-08,66.40899982452393,0,650,0.0,43165.84988594056,103613.0732345581,146778.92312049866,-0.0023680265005462386,-0.021473845863342778,-0.008006604574447795,-0.06252295617687154
2022-04-11,65.25500087738037,0,650,0.0,42415.75057029724,103613.0732345581,146028.82380485535,-0.005110402091092592,-0.02647450796763151,-0.017377146925760645,-0.07881363250691376
2022-04-12,65.17700061798095,0,650,0.0,42365.050401687615,103613.0732345581,145978.12363624573,-0.0003471928848606254,-0.026812509091695635,-0.0011953146632545097,-0.07991474007956845
2022-04-13,65.84799766540527,0,650,0.0,42801.19848251343,103613.0732345581,146414.27171707153,0.0029877633028947415,-0.02390485521952357,0.010294997331301126,-0.07044246478411809
2022-04-14,64.94699897766114,0,650,0.0,42215.54933547974,103613.0732345581,145828.62257003784,-0.00399994577144358,-0.027809182866414872,-0.013683008135226826,-0.08316160810063844
2022-04-18,65.13700008392334,0,650,0.0,42339.05005455017,103613.0732345581,145952.12328910828,0.000846889430167419,-0.026985844739278564,0.0029254793793866973,-0.08047941629090682
2022-04-19,65.66700077056885,0,650,0.0,42683.55050086975,103613.0732345581,146296.62373542786,0.002360366115655488,-0.024689175097147964,0.008136707032295742,-0.07299754669110037
2022-04-20,65.68600196838379,0,650,0.0,42695.90127944946,103613.0732345581,146308.97451400757,8.442285450183107e-05,-0.02460683657328311,0.00028935687014741696,-0.07272931216259193
2022-04-21,64.98399868011475,0,650,0.0,42239.59914207459,103613.0732345581,145852.6723766327,-0.0031187569927993986,-0.027648850822448945,-0.010687258582230852,-0.0826392937792334
2022-04-22,63.956999778747566,0,650,0.0,41572.04985618592,103613.0732345581,145185.12309074402,-0.0045768738756111205,-0.032099179395040145,-0.015803873603140506,-0.09713714642883409
2022-04-25,64.53199901580811,0,650,0.0,41945.799360275276,103613.0732345581,145558.87259483337,0.002574296154680855,-0.029607516034444337,0.008990403537528335,-0.08902004503618499
2022-04-26,63.333001327514644,0,650,0.0,41166.45086288452,103613.0732345581,144779.52409744263,-0.005354180638373562,-0.03480317268371591,-0.018579893798110203,-0.10594595585161992
2022-04-27,63.6429988861084,0,650,0.0,41367.94927597046,103613.0732345581,144981.02251052856,0.001391760432575495,-0.03345984992980966,0.004894723952693525,-0.10156980810672434
2022-04-28,64.81100101470948,0,650,0.0,42127.15065956116,103613.0732345581,145740.22389411926,0.00523655696755454,-0.02839850737253835,0.018352405591245846,-0.08508145282967805
2022-04-29,63.30400066375733,0,650,0.0,41147.60043144226,103613.0732345581,144760.67366600037,-0.006721207103610238,-0.03492884222666437,-0.02325223075338889,-0.10635535000903773
2022-05-02,63.57700138092041,0,650,0.0,41325.05089759827,103613.0732345581,144938.12413215637,0.0012258195659231585,-0.03374583911895768,0.004312534978841764,-0.10250147619729688
2022-05-03,63.62600135803223,0,650,0.0,41356.90088272095,103613.0732345581,144969.97411727905,0.00021974884326247945,-0.033533505884806525,0.0007707185939493932,-0.10180975739695997
2022-05-04,64.92000007629395,0,650,0.0,42198.000049591064,103613.0732345581,145811.07328414917,0.005801885335163792,-0.02792617810567244,0.020337577258394912,-0.08354274394528416
2022-05-05,63.045002174377444,0,650,0.0,40979.25141334534,103613.0732345581,144592.32464790344,-0.008358409336104988,-0.0360511690139772,-0.028881668202603294,-0.11001155833652476
2022-05-06,62.6460018157959,0,650,0.0,40719.901180267334,103613.0732345581,144332.97441482544,-0.0017936652841673562,-0.03778017056783056,-0.006328818222227084,-0.11564413340369606
2022-05-09,61.1794002532959,0,650,0.0,39766.610164642334,103613.0732345581,143379.68339920044,-0.006604804061510983,-0.04413544400533054,-0.02341093637248215,-0.13634773232721342
2022-05-10,61.78400039672851,0,650,0.0,40159.60025787353,103613.0732345581,143772.67349243164,0.0027409050146738334,-0.04151551005045573,0.009882413703459436,-0.1278127633221401
2022-05-11,60.820001220703126,0,650,0.0,39533.00079345703,103613.0732345581,143146.07402801514,-0.004358265372657821,-0.045692839813232466,-0.015602731610697473,-0.14142126669030064
