index,close,BB_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-03-21,232.77599353790285,0,200,0.0,46555.19870758057,100143.5990524292,146698.79776000977,-0.0007329532901235725,-0.02200801493326865,-0.002305953172885844,-0.040431386207890996
2022-03-22,234.90500431060792,0,200,0.0,46981.00086212158,100143.5990524292,147124.59991455078,0.0029025606279173832,-0.019169333902995245,0.009146178436817198,-0.031655000443779
2022-03-23,232.82300605773926,0,200,0.0,46564.60121154785,100143.5990524292,146708.20026397705,-0.0028302517105608382,-0.02194533157348677,-0.008863149846376595,-0.04023758727783522
2022-03-24,234.88499355316165,0,200,0.0,46976.99871063233,100143.5990524292,147120.59776306152,0.002811005099527142,-0.019196014912923554,0.008856459378035142,-0.031737490456996365
2022-03-25,235.38300514221194,0,200,0.0,47076.60102844239,100143.5990524292,147220.20008087158,0.0006770113724692273,-0.018531999460856485,0.002120235871678089,-0.029684545551062258
2022-03-28,236.91199607849123,0,200,0.0,47382.39921569824,100143.5990524292,147525.99826812744,0.0020771482927470775,-0.016493344879150662,0.006495757564805915,-0.023381611597577456
2022-03-29,239.37000484466552,0,200,0.0,47874.000968933105,100143.5990524292,148017.6000213623,0.0033323058918834914,-0.013215999857584815,0.010375197570662076,-0.013249002866760784
2022-03-30,238.26400470733645,0,200,0.0,47652.80094146729,100143.5990524292,147796.39999389648,-0.0014944170654969113,-0.01469066670735697,-0.00462046252640036,-0.017808248871903132
2022-03-31,235.273002243042,0,200,0.0,47054.6004486084,100143.5990524292,147198.1995010376,-0.004047463218884828,-0.018678669993082875,-0.012553312314079301,-0.030138008676126593
2022-04-01,235.56400413513188,0,200,0.0,47112.800827026374,100143.5990524292,147256.39987945557,0.00039538784180281894,-0.018290667470296396,0.0012368690385873293,-0.028938416407355394
2022-04-04,237.21599464416505,0,200,0.0,47443.19892883301,100143.5990524292,147586.7979812622,0.0022436926481776975,-0.01608801345825206,0.007012915725806312,-0.022128443357052108
2022-04-05,234.50900669097902,0,200,0.0,46901.8013381958,100143.5990524292,147045.400390625,-0.003668333469135532,-0.019697330729166795,-0.011411490010387548,-0.033287414857125275
2022-04-06,232.56199665069582,0,200,0.0,46512.39933013916,100143.5990524292,146655.99838256836,-0.0026481753731990576,-0.02229334411621109,-0.008302495787928743,-0.04131354202341175
2022-04-07,233.512996673584,0,200,0.0,46702.599334716804,100143.5990524292,146846.198387146,0.0012969125482442667,-0.021025344085693454,0.00408923227605662,-0.0373932504168355
2022-04-08,232.8370050430298,0,200,0.0,46567.40100860596,100143.5990524292,146711.00006103516,-0.0009206797833091196,-0.021926666259765804,-0.002894877973319665,-0.04017987949317259
2022-04-11,229.4749967575073,0,200,0.0,45894.999351501465,100143.5990524292,146038.59840393066,-0.004583171383364282,-0.026409343973795796,-0.014439321124668947,-0.054039030435089064
