index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-03-11,65.14499988555909,0,650,0.0,42344.24992561341,102310.6043434143,144654.8542690277,-0.002621780087652459,-0.03563430487314789,-0.008900049107915642,-0.08036648535671898
2022-03-14,64.33099918365478,0,650,0.0,41815.14946937561,102310.6043434143,144125.75381278992,-0.0036576750839883987,-0.03916164124806654,-0.012495213805115757,-0.09185750274453686
2022-03-15,65.36199989318848,0,650,0.0,42485.29993057252,102310.6043434143,144795.90427398682,0.004649762054791173,-0.03469397150675402,0.016026499240130887,-0.07730315770234164
2022-03-16,66.44699878692627,0,650,0.0,43190.549211502075,102310.6043434143,145501.15355491638,0.004870643851880407,-0.029992309633890324,0.016599842347401417,-0.0619865355857554
2022-03-17,66.73300132751466,0,650,0.0,43376.45086288453,102310.6043434143,145687.05520629883,0.0012776644503529333,-0.028752965291340637,0.00430422059400315,-0.057949118714771375
2022-03-18,67.49000263214111,0,650,0.0,43868.50171089172,102310.6043434143,146179.10605430603,0.0033774507097452666,-0.02547262630462588,0.01134373232984398,-0.047262745676378115
2022-03-21,67.15000019073486,0,650,0.0,43647.500123977654,102310.6043434143,145958.10446739197,-0.0015118548257639919,-0.026945970217386317,-0.005037819353178263,-0.05206246385470359
2022-03-22,67.5790002822876,0,650,0.0,43926.35018348694,102310.6043434143,146236.95452690125,0.0019104801376177427,-0.025086969820657723,0.006388683400360362,-0.04600639105295368
2022-03-23,67.16099967956544,0,650,0.0,43654.64979171754,102310.6043434143,145965.25413513184,-0.0018579461850009027,-0.02689830576578711,-0.006185362331139976,-0.05190718718588305
2022-03-24,68.12099971771241,0,650,0.0,44278.64981651307,102310.6043434143,146589.25415992737,0.004274990157711489,-0.02273830560048351,0.014294010552660996,-0.03835513851461603
2022-03-25,67.94099998474121,0,650,0.0,44161.64999008179,102310.6043434143,146472.2543334961,-0.0007981473614950829,-0.023518304443358673,-0.0026423530734589473,-0.04089614376993789
2022-03-28,68.52800178527832,0,650,0.0,44543.20116043091,102310.6043434143,146853.80550384521,0.002604938198605078,-0.0209746299743645,0.008639875784415052,-0.03260960558775672
2022-03-29,69.1619993209839,0,650,0.0,44955.299558639534,102310.6043434143,147265.90390205383,0.0028061812684712084,-0.018227307319640507,0.009251656537310193,-0.023659641921161656
2022-03-30,68.65200061798096,0,650,0.0,44623.80040168762,102310.6043434143,146934.40474510193,-0.0022510244949325298,-0.0204373016993199,-0.007373972817587449,-0.030859149182348555
2022-03-31,68.226997756958,0,650,0.0,44347.5485420227,102310.6043434143,146658.152885437,-0.0018801033028591485,-0.022278980763752676,-0.0061906842800972806,-0.03685879421270555
2022-04-01,68.20000114440917,0,650,0.0,44330.00074386596,102310.6043434143,146640.60508728027,-0.00011965102390487647,-0.02239596608479766,-0.0003956881210719354,-0.03723989774675052
2022-04-04,68.88599967956543,0,650,0.0,44775.89979171753,102310.6043434143,147086.50413513184,0.0030407611015117464,-0.019423305765787324,0.01005862937895996,-0.02755585069733546
2022-04-05,67.92900257110595,0,650,0.0,44153.85167121887,102310.6043434143,146464.45601463318,-0.004229131177984624,-0.023570293235778306,-0.013892476162226108,-0.04106550786061902
2022-04-06,66.92199954986572,0,650,0.0,43499.29970741271,102310.6043434143,145809.90405082703,-0.004469015770903195,-0.027933972994485967,-0.014824345759915092,-0.05528108433320178
2022-04-07,66.94500198364258,0,650,0.0,43514.25128936768,102310.6043434143,145824.85563278198,0.00010254160752865005,-0.0278342957814528,0.0003437200611395852,-0.054956365489749026
2022-04-08,66.40899982452393,0,650,0.0,43165.84988594056,102310.6043434143,145476.45422935486,-0.0023891770844914895,-0.030156971804300325,-0.008006604574447795,-0.06252295617687154
2022-04-11,65.25500087738037,0,650,0.0,42415.75057029724,102310.6043434143,144726.35491371155,-0.005156156160231462,-0.03515763390858917,-0.017377146925760645,-0.07881363250691376
2022-04-12,65.17700061798095,0,650,0.0,42365.050401687615,102310.6043434143,144675.65474510193,-0.00035031745696800787,-0.035495635032653294,-0.0011953146632545097,-0.07991474007956845
2022-04-13,65.84799766540527,0,650,0.0,42801.19848251343,102310.6043434143,145111.80282592773,0.003014661185354539,-0.03258798116048123,0.010294997331301126,-0.07044246478411809
2022-04-14,64.94699897766114,0,650,0.0,42215.54933547974,102310.6043434143,144526.15367889404,-0.004035847778255608,-0.03649230880737242,-0.013683008135226826,-0.08316160810063844
2022-04-18,65.13700008392334,0,650,0.0,42339.05005455017,102310.6043434143,144649.65439796448,0.000854521592990265,-0.03566897068023611,0.0029254793793866973,-0.08047941629090682
2022-04-19,65.66700077056885,0,650,0.0,42683.55050086975,102310.6043434143,144994.15484428406,0.0023816195604020596,-0.03337230103810551,0.008136707032295742,-0.07299754669110037
2022-04-20,65.68600196838379,0,650,0.0,42695.90127944946,102310.6043434143,145006.50562286377,8.518121708411819e-05,-0.03328996251424077,0.00028935687014741696,-0.07272931216259193
2022-04-21,64.98399868011475,0,650,0.0,42239.59914207459,102310.6043434143,144550.2034854889,-0.003146770108105601,-0.036331976763406604,-0.010687258582230852,-0.0826392937792334
2022-04-22,63.956999778747566,0,650,0.0,41572.04985618592,102310.6043434143,143882.65419960022,-0.0046181137749535806,-0.040782305335997804,-0.015803873603140506,-0.09713714642883409
2022-04-25,64.53199901580811,0,650,0.0,41945.799360275276,102310.6043434143,144256.40370368958,0.002597599454697841,-0.03829064197540211,0.008990403537528335,-0.08902004503618499
2022-04-26,63.333001327514644,0,650,0.0,41166.45086288452,102310.6043434143,143477.05520629883,-0.005402522712208868,-0.04348629862467379,-0.018579893798110203,-0.10594595585161992
2022-04-27,63.6429988861084,0,650,0.0,41367.94927597046,102310.6043434143,143678.55361938477,0.0014043946803634633,-0.04214297587076754,0.004894723952693525,-0.10156980810672434
2022-04-28,64.81100101470948,0,650,0.0,42127.15065956116,102310.6043434143,144437.75500297546,0.005284027187536067,-0.03708163331349623,0.018352405591245846,-0.08508145282967805
2022-04-29,63.30400066375733,0,650,0.0,41147.60043144226,102310.6043434143,143458.20477485657,-0.006781815655461543,-0.04361196816762225,-0.02325223075338889,-0.10635535000903773
2022-05-02,63.57700138092041,0,650,0.0,41325.05089759827,102310.6043434143,143635.65524101257,0.001236948883017952,-0.04242896505991545,0.004312534978841764,-0.10250147619729688
