index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2020-03-17,64.24400026798249,0,350,0.0,22485.40009379387,132817.71577477455,155303.11586856842,0.007897056590502771,0.03535410579045606,0.0572124981575457,0.044117098679759215,0.05995484974402432,-0.09990675473820076
2020-03-18,62.0650013923645,0,350,0.0,21722.750487327576,132817.71577477455,154540.46626210213,-0.004910716711644891,0.030269775080680628,-0.03391754664293434,0.008703208284603248,-0.051830762729157875,-0.14655927416748282
2020-03-19,62.50949883460999,0,350,0.0,21878.3245921135,132817.71577477455,154696.04036688805,0.0010066884651562802,0.031306935779253475,0.007161805079733297,0.015927344045639114,0.0047078080405855705,-0.14254143905624528
2020-03-20,60.19149856567382,0,350,0.0,21067.024497985836,132817.71577477455,153884.7402727604,-0.005244478735225044,0.025898268485069043,-0.03708236847441737,-0.021745648069497414,-0.04335951230846191,-0.1797204240834821
2020-03-23,59.58200113773346,0,350,0.0,20853.70039820671,132817.71577477455,153671.41617298126,-0.0013862589584971996,0.02447610781987475,-0.010125971980500692,-0.031651424226948555,-0.02929386782180443,-0.20374958555730638
2020-03-24,64.76250014305114,0,350,0.0,22666.875050067898,132817.71577477455,155484.59082484245,0.011799036522317063,0.036563938832282705,0.08694738186691864,0.05254394917107774,0.09382773976227554,-0.12903920888537324
2020-03-25,64.71750166416167,0,350,0.0,22651.125582456585,132817.71577477455,155468.84135723114,-0.00010129278745729664,0.03645894238154068,-0.0006948230656641519,0.05181261735756837,0.011535011448221999,-0.11899266618891358
2020-03-26,68.0279982805252,0,350,0.0,23809.79939818382,132817.71577477455,156627.51517295837,0.007452771922734414,0.04418343448638873,0.05115303482422218,0.10561602480181631,0.062414163303876835,-0.0640053305845153
2020-03-27,65.39599738121032,0,350,0.0,22888.59908342361,132817.71577477455,155706.31485819817,-0.005881471807446803,0.038042099054654166,-0.0386899653942685,0.0628397790628854,-0.033687352562252526,-0.09553651300950372
2020-03-30,67.64950118064881,0,350,0.0,23677.325413227085,132817.71577477455,156495.04118800163,0.005065474258521663,0.04330027458667729,0.03445935362530261,0.09946455085665185,0.03351600948370015,-0.06522250620186976
2020-03-31,66.58400168418883,0,350,0.0,23304.40058946609,132817.71577477455,156122.11636424065,-0.002382981728558331,0.040814109094937434,-0.01575029346653578,0.08214766152460662,-0.016012721914555605,-0.08019083826204443
2020-04-01,63.76925063133239,0,350,0.0,22319.237720966335,132817.71577477455,155136.9534957409,-0.006310206980549293,0.03424635663827247,-0.04227368409316923,0.03640129313915352,-0.04414243033166543,-0.12079345010248976
2020-04-02,65.20550134181977,0,350,0.0,22821.92546963692,132817.71577477455,155639.64124441147,0.0032402837450613564,0.0375976082960765,0.022522621738033877,0.05974376743333587,0.02282934723487151,-0.10072173848370614
