index,close,MACD_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-05-02,100.0635033607483,0,400,0.0,40025.40134429932,139214.77286338806,179240.17420768738,0.001247938425018802,0.19493449471791813,0.005612831316099243,0.8282283090255964
2022-05-03,100.2715033531189,0,400,0.0,40108.60134124756,139214.77286338806,179323.37420463562,0.0004641816340338334,0.19548916136423977,0.0020786798921152982,0.8320286104497638
2022-05-04,103.21299724578857,0,400,0.0,41285.19889831543,139214.77286338806,180499.9717617035,0.006561317297795188,0.20333314507802558,0.02933529262357637,0.8857717058320718
2022-05-05,98.91400270462036,0,400,0.0,39565.601081848145,139214.77286338806,178780.3739452362,-0.009526859199388116,0.19186915963491025,-0.04165167814021242,0.807226149694835
2022-05-06,97.9925030708313,0,400,0.0,39197.00122833252,139214.77286338806,178411.77409172058,-0.002061746742002768,0.18941182727813932,-0.00931616968874327,0.7903897242183437
2022-05-09,93.75340242385865,0,400,0.0,37501.36096954346,139214.77286338806,176716.13383293152,-0.009504082717754603,0.17810755888621221,-0.04325943836650992,0.7129384702914876
2022-05-10,94.57550153732299,0,400,0.0,37830.2006149292,139214.77286338806,177044.97347831726,0.001860835444128961,0.18029982318878401,0.008768738970641676,0.7279587806102439
2022-05-11,92.41600122451781,0,400,0.0,36966.40048980713,139214.77286338806,176181.1733531952,-0.004878987006247115,0.17454115568797013,-0.02283361206340484,0.6885032401522355
2022-05-12,91.78050308227539,0,400,0.0,36712.201232910156,139214.77286338806,175926.97409629822,-0.0014428287203387402,0.1728464939753236,-0.0068764946959620765,0.676892256577214
2022-05-13,94.5579997062683,0,400,0.0,37823.199882507324,139214.77286338806,177037.9727458954,0.006315112593189065,0.1802531516393049,0.030262381777348413,0.7276390102452328
2022-05-16,93.87250175476075,0,400,0.0,37549.0007019043,139214.77286338806,176763.77356529236,-0.001548815637403278,0.1784251571019515,-0.007249497172496899,0.7151144961253646
2022-05-17,96.01249828338624,0,400,0.0,38404.99931335449,139214.77286338806,177619.77217674255,0.00484261336010694,0.18413181451161953,0.02279684133928983,0.7542136891722506
2022-05-18,92.14200019836426,0,400,0.0,36856.8000793457,139214.77286338806,176071.57294273376,-0.00871636763765371,0.17381048628489437,-0.04031244009085133,0.6834970549209429
2022-05-19,91.44550170898438,0,400,0.0,36578.20068359375,139214.77286338806,175792.9735469818,-0.0015823076439633876,0.17195315697988134,-0.007558968634069685,0.6707715534872469
2022-05-20,91.67949800491334,0,400,0.0,36671.79920196534,139214.77286338806,175886.5720653534,0.0005324360609133549,0.17257714710235872,0.0025588606498505584,0.6750468250703552
2022-05-23,93.4535044670105,0,400,0.0,37381.4017868042,139214.77286338806,176596.17465019226,0.00403443296726036,0.17730783100128455,0.019350089176994434,0.707459130511108
2022-05-24,92.64300012588501,0,400,0.0,37057.200050354004,139214.77286338806,176271.97291374207,-0.0018358366883789445,0.17514648609161654,-0.008672808427549139,0.6926506645743156
2022-05-25,93.58149747848512,1,800,400.0,74865.1979827881,101782.17387199402,176647.3718547821,0.002129657567421228,0.17764914569855006,0.01013025648267929,0.7097976499420309
2022-05-26,95.20750036239623,1,800,0.0,76166.00028991699,101782.17387199402,177948.174161911,0.007363836175260374,0.18632116107940955,0.017375260363673206,0.7395058292789702
2022-05-27,98.01850280761718,1,800,0.0,78414.80224609375,101782.17387199402,180196.97611808777,0.012637398314245374,0.20131317412058802,0.029525010472086777,0.7908647571046878
2022-05-31,97.38499908447265,1,800,0.0,77907.99926757812,101782.17387199402,179690.17313957214,-0.0028124943571944394,0.1979344875971505,-0.006463103444743656,0.7792902129239745
2022-06-01,97.06299962997437,1,800,0.0,77650.39970397949,101782.17387199402,179432.5735759735,-0.0014335762445870648,0.19621715717315968,-0.0033064584640902783,0.7734070637393791
2022-06-02,99.01199913024902,1,800,0.0,79209.59930419922,101782.17387199402,180991.77317619324,0.008689612867641028,0.20661182117462462,0.020079736951306604,0.8090166110868549
2022-06-03,96.9890030860901,1,800,0.0,77591.20246887207,101782.17387199402,179373.3763408661,-0.00894182540413957,0.19582250893911035,-0.020431827070754416,0.772055096521006
2022-06-06,96.67999963760376,1,800,0.0,77343.99971008301,101782.17387199402,179126.17358207703,-0.0013781463215549739,0.1941744905471834,-0.0031859637552110742,0.766409393211253
2022-06-07,98.01399812698364,1,800,0.0,78411.19850158691,101782.17387199402,180193.37237358093,0.00595780488223796,0.20128914915720952,0.013798081241003901,0.7907824535236543
2022-06-08,96.57400398254394,1,800,0.0,77259.20318603516,101782.17387199402,179041.37705802917,-0.006393105919364261,0.19360918038686448,-0.014691719264161462,0.7644727804532985
2022-06-09,94.1180006980896,1,800,0.0,75294.40055847168,101782.17387199402,177076.5744304657,-0.010974014274514166,0.18051049620310788,-0.025431308459554658,0.7195999289051025
2022-06-10,91.21049728393555,1,800,0.0,72968.39782714844,101782.17387199402,174750.57169914246,-0.013135575605098593,0.16500381132761954,-0.030892107700849936,0.6664778626989922
2022-06-13,86.96639909744262,0,400,-400.0,34786.55963897705,136568.73351097107,171355.29314994812,-0.019429284357591614,0.1423686209996573,-0.04653080854587588,0.5889353003238049
2022-06-14,87.11349954605102,0,400,0.0,34845.39981842041,136568.73351097107,171414.13332939148,0.00034338116063836743,0.14276088886261307,0.001691463026353146,0.5916229256355701
2022-06-15,88.79349851608276,0,400,0.0,35517.399406433105,136568.73351097107,172086.13291740417,0.00392032777554796,0.14724088611603103,0.01928517369622651,0.6223176502153482
2022-06-16,85.83999910354615,0,400,0.0,34335.99964141846,136568.73351097107,170904.73315238953,-0.0068651653970379645,0.13936488768260014,-0.033262563835140035,0.5683552058141859
2022-06-17,86.33950147628784,0,400,0.0,34535.80059051514,136568.73351097107,171104.5341014862,0.0011690779149955421,0.14069689400991114,0.0058189932194565586,0.577481454122518
2022-06-21,87.98549957275391,0,400,0.0,35194.19982910156,136568.73351097107,171762.93334007263,0.0038479356613421167,0.14508622226715406,0.019064252958631345,0.6075549596014593
