index,close,SMA_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2020-02-19,75.06100025177001,1,800,0.0,60048.80020141601,105268.80098342896,165317.60118484497,0.0011894297574426282,0.10211734123229999,0.003281406756618477,0.371415560669786,0.004705785881164548,0.20506989397912956
2020-02-20,74.71300077438354,1,800,0.0,59770.400619506836,105268.80098342896,165039.2016029358,-0.0016840286812406235,0.1002613440195721,-0.004636222222181963,0.3650573733715625,-0.00381551976362815,0.20047192598209884
2020-02-21,73.65350031852722,1,800,0.0,58922.80025482178,105268.80098342896,164191.60123825073,-0.005135751727182281,0.09461067492167174,-0.014180938322311265,0.3456995789533641,-0.01051810302712286,0.1878452385834506
2020-02-24,71.37250008583068,1,800,0.0,57098.00006866454,105268.80098342896,162366.8010520935,-0.01111384609441346,0.08244534034729023,-0.03096933917372513,0.30402415226681834,-0.03351362667122315,0.14803623671437482
2020-02-25,69.12749848365783,1,800,0.0,55301.99878692626,105268.80098342896,160570.79977035522,-0.01106138243840904,0.07047199846903496,-0.03145471434338254,0.26300644506039395,-0.030279995565056117,0.11327370455813979
2020-02-26,69.2094982624054,1,800,0.0,55367.598609924324,105268.80098342896,160636.39959335327,0.0004085414227983364,0.07090933062235538,0.0011862107055262694,0.26450463682667325,-0.0037785406053220116,0.10906715466062966
2020-02-27,65.53849806785584,1,800,0.0,52430.798454284675,105268.80098342896,157699.59943771362,-0.018282283237635255,0.051330662918091186,-0.05304185533365802,0.19743296481137307,-0.04416324258407911,0.06008715286731792
2020-02-28,65.25400128364564,1,800,0.0,52203.20102691651,105268.80098342896,157472.00201034546,-0.0014432340232928276,0.049813346735636754,-0.004340910954591104,0.19223501493703488,-0.008238340444361891,0.05135379400130269
2020-03-02,68.54650068283081,1,800,0.0,54837.20054626465,105268.80098342896,160106.0015296936,0.01672677990831084,0.06737334353129087,0.05045666678543381,0.2523912198156395,0.046039229006110016,0.09975731208977123
2020-03-03,66.77499961853027,1,800,0.0,53419.99969482422,105268.80098342896,158688.80067825317,-0.008851641024696932,0.0579253378550213,-0.02584378555657263,0.22002468969778977,-0.028107896121075893,0.06884544780315838
2020-03-04,69.4570004940033,1,800,0.0,55565.60039520264,105268.80098342896,160834.4013786316,0.013520807336169227,0.07222934252421087,0.04016474565023831,0.26902667104651234,0.04220259077449118,0.11395349483797279
2020-03-05,67.82550048828125,1,800,0.0,54260.400390625,105268.80098342896,159529.20137405396,-0.008115179298643804,0.06352800916035983,-0.023489353040272776,0.23921805555277875,-0.033922077046888544,0.07616587855942836
2020-03-06,66.45000257492066,1,800,0.0,53160.00205993653,105268.80098342896,158428.80304336548,-0.006897786243587722,0.056192020289103306,-0.020279952281343605,0.2140867725199891,-0.01705385200037013,0.05781310493862768
2020-03-09,61.44150109291076,1,800,0.0,49153.20087432861,105268.80098342896,154422.00185775757,-0.025290863205670755,0.02948001238505049,-0.07537247987858153,0.1225780416873743,-0.07596969747745097,-0.022548636631242958
2020-03-10,64.74999985694885,1,800,0.0,51799.999885559075,105268.80098342896,157068.80086898804,0.017140038203030894,0.047125339126586896,0.05384794813256644,0.18302656585091404,0.04939630628156144,0.025733850289050064
2020-03-11,61.30599927902222,1,800,0.0,49044.79942321777,105268.80098342896,154313.60040664673,-0.017541360519072402,0.02875733604431141,-0.053189198232207024,0.12010233132590264,-0.048868445131273974,-0.02439216809309075
2020-03-12,55.09099903106689,1,800,0.0,44072.799224853516,105268.80098342896,149341.60020828247,-0.03222010364129968,-0.0043893319447836365,-0.1013767057228604,0.006550046903586848,-0.09511268097833658,-0.11718484456921918
2020-03-13,60.53700194358825,1,800,0.0,48429.6015548706,105268.80098342896,153698.40253829956,0.02917340060599849,0.024656016921996926,0.09885467695821326,0.10605222663251523,0.09287124972971839,-0.03519669780402701
2020-03-16,51.59389863014221,1,800,0.0,41275.11890411377,105268.80098342896,146543.91988754272,-0.046548841969740296,-0.023040534083048625,-0.14772953774254827,-0.057344357527022494,-0.11984055240393443,-0.1508192585003325
2020-03-17,54.69250044822693,1,800,0.0,43754.00035858154,105268.80098342896,149022.8013420105,0.016915621312505236,-0.006514657719930095,0.06005752424908728,-0.0007307934206627342,0.05995484974402432,-0.09990675473820076
2020-03-18,51.67550086975098,1,800,0.0,41340.40069580078,105268.80098342896,146609.20167922974,-0.016196176967855358,-0.022605322138468442,-0.055162948370442666,-0.05585342907137192,-0.051830762729157875,-0.14655927416748282
2020-03-19,52.19899897575379,0,400,-400.0,20879.599590301514,126148.40057373047,147028.00016403198,0.0028565634353465708,-0.019813332239786874,0.010130489249098984,-0.04628876238500579,0.0047078080405855705,-0.14254143905624528
2020-03-20,49.82599940299989,0,400,0.0,19930.399761199955,126148.40057373047,146078.80033493042,-0.006455911989842633,-0.026141331100463905,-0.04546063371552678,-0.0896450796286028,-0.04335951230846191,-0.1797204240834821
2020-03-23,48.803001165390015,0,400,0.0,19521.200466156006,126148.40057373047,145669.60103988647,-0.002801222998174535,-0.0288693264007569,-0.02053141431917338,-0.10833595367624604,-0.02929386782180443,-0.20374958555730638
2020-03-24,53.18349995613098,0,400,0.0,21273.399982452393,126148.40057373047,147421.80055618286,0.012028587322186812,-0.017187996292114316,0.08975879937989384,-0.028301259428007874,0.09382773976227554,-0.12903920888537324
2020-03-25,53.69800071716309,0,400,0.0,21479.200286865234,126148.40057373047,147627.6008605957,0.0013959964105472178,-0.01581599426269542,0.009674067360299743,-0.01890098035779597,0.011535011448221999,-0.11899266618891358
2020-03-26,57.01649889945984,0,400,0.0,22806.599559783936,126148.40057373047,148955.0001335144,0.008991538609180338,-0.00696666577657068,0.061799287459059604,0.04173023998287406,0.062414163303876835,-0.0640053305845153
2020-03-27,55.60649847984314,0,400,0.0,22242.599391937256,126148.40057373047,148390.99996566772,-0.0037863795598747085,-0.010726666895548465,-0.02472969134956937,0.015968572678584758,-0.033687352562252526,-0.09553651300950372
2020-03-30,57.105000495910645,0,400,0.0,22842.000198364258,126148.40057373047,148990.40077209473,0.0040393339661144445,-0.006730661519368408,0.026948325412194274,0.043347224383689875,0.03351600948370015,-0.06522250620186976
2020-03-31,56.092001581192015,0,400,0.0,22436.800632476807,126148.40057373047,148585.20120620728,-0.0027196353844787247,-0.009431991958618102,-0.01773923309555303,0.024839044770749386,-0.016012721914555605,-0.08019083826204443
2020-04-01,53.05900092124939,0,400,0.0,21223.600368499756,126148.40057373047,147372.00094223022,-0.00816501410724857,-0.017519993718465132,-0.054071892149407774,-0.030575941528596662,-0.04414243033166543,-0.12079345010248976
2020-04-02,53.93850064277649,0,400,0.0,21575.400257110596,126148.40057373047,147723.80083084106,0.0023871555408190304,-0.015174661127726252,0.016575881683721372,-0.0145068830340217,0.02282934723487151,-0.10072173848370614
2020-04-03,53.17250103950501,0,400,0.0,21269.000415802002,126148.40057373047,147417.40098953247,-0.0020741399800526805,-0.017217326736450156,-0.014201351430669917,-0.02850221712056189,-0.015137125124949469,-0.11433422605042531
2020-04-06,57.715998029708864,0,400,0.0,23086.399211883545,126148.40057373047,149234.799785614,0.012328251508182397,-0.00510133476257324,0.08544824677004037,0.05451056516746733,0.07033131865275055,-0.052044184282942885
2020-04-07,57.466498661041264,0,400,0.0,22986.599464416504,126148.40057373047,149135.00003814697,-0.0006687431323686432,-0.0057666664123534606,-0.004322880608235713,0.049952041894125276,-0.0016030527844311804,-0.05356380749284584
2020-04-08,59.59900054931641,0,400,0.0,23839.600219726562,126148.40057373047,149988.00079345703,0.00571965504470362,-7.999471028641292e-05,0.03710861002431054,0.08891430276100287,0.03405645287963033,-0.02133154789914915
2020-04-09,60.44799809455871,0,400,0.0,24179.199237823486,126148.40057373047,150327.59981155396,0.002264174575968836,0.0021839987436931274,0.014245164137270727,0.10442606573525515,0.014487410153376512,-0.007153176629393965
2020-04-13,59.85450005531311,0,400,0.0,23941.800022125244,126148.40057373047,150090.2005958557,-0.0015792124400032526,0.0006013373057047744,-0.009818324145610124,0.09358245262700549,-0.010104660822607414,-0.017185557028357112
2020-04-14,61.95950074195862,0,400,0.0,24783.800296783447,126148.40057373047,150932.20087051392,0.005609961685143272,0.006214672470092886,0.03516862866952741,0.1320422478229557,0.030572589146256046,0.012861625143621325
2020-04-15,60.24849910736084,0,400,0.0,24099.399642944336,126148.40057373047,150247.8002166748,-0.004534490651377121,0.0016520014444987297,-0.027614838953004983,0.10078108346132697,-0.022030438529415775,-0.009452160627909434
2020-04-16,60.59199862480164,0,400,0.0,24236.799449920654,126148.40057373047,150385.20002365112,0.000914487977715206,0.0025680001576739997,0.005701378831507453,0.1070570534286972,0.005816689462164515,-0.0036904514488639295
2020-04-17,61.72750129699707,0,400,0.0,24691.000518798828,126148.40057373047,150839.4010925293,0.003020251120500861,0.0055960072835286034,0.018740142229450196,0.12780346006606713,0.026793594848223412,0.023004262938431497
2020-04-20,60.19100079536438,0,400,0.0,24076.400318145752,126148.40057373047,150224.80089187622,-0.0040745335515888215,0.001498672612508134,-0.02489166853263569,0.09973055016814292,-0.01788104803401469,0.004711874573827712
2020-04-21,57.86550107002258,0,400,0.0,23146.200428009033,126148.40057373047,149294.6010017395,-0.006192052741053278,-0.004702659988403357,-0.03863533908080319,0.057242087464878466,-0.030674795694063395,-0.02610745691012395
2020-04-22,59.81549968719482,0,400,0.0,23926.19987487793,126148.40057373047,150074.6004486084,0.005224565668384917,0.0004973363240561302,0.03369881157362764,0.09286988935806617,0.022930247703843776,-0.0037758596601467076
2020-04-23,59.35950059890747,0,400,0.0,23743.80023956299,126148.40057373047,149892.20081329346,-0.0012153931096248183,-0.0007186612447100948,-0.007623426882196083,0.08453847566479133,-0.0005394221197431159,-0.004313244997668053
